time	pressure_measure
[-1.444722, -0.261667, -0.130833, 0.0]	[27.800426, 4.745042, 2.357905, 0.0]
[-0.012778, -0.005278, -0.002778, 0.0]	[-1.442547, -0.564902, -0.278444, 0.0]
[-10.816944, -4.886944, -2.443333, 0.0]	[34.681167, 14.637056, 7.128509, 0.0]
[-7.616667, -2.906389, -1.453056, 0.0]	[41.359735, 14.854768, 7.297753, 0.0]
[-0.589444, -0.118333, -0.059167, 0.0]	[32.974853, 6.26865, 3.113389, 0.0]
[-3.570278, -0.235556, -0.117778, 0.0]	[27.864411, 1.731964, 0.864234, 0.0]
[-6.204722, -3.232778, -1.616389, 0.0]	[40.563749, 19.888138, 9.643728, 0.0]
[-12.657778, -3.259444, -1.629722, 0.0]	[30.974077, 7.480955, 3.701327, 0.0]
[-1.836389, -0.653056, -0.326389, 0.0]	[31.808648, 10.756382, 5.307512, 0.0]
[-1.753056, -0.569722, -0.284722, 0.0]	[28.801664, 8.82828, 4.355639, 0.0]
[-0.626667, -0.098333, -0.049167, 0.0]	[31.686142, 4.701568, 2.339188, 0.0]
[-5.746667, -2.774444, -1.387222, 0.0]	[47.838417, 21.777002, 10.612162, 0.0]
[-3.776944, -1.416389, -0.708056, 0.0]	[39.698065, 14.029262, 6.898106, 0.0]
[-1.690833, -0.636389, -0.318056, 0.0]	[37.769274, 13.444003, 6.616263, 0.0]
[-3.256111, -1.151944, -0.575833, 0.0]	[41.657609, 13.921563, 6.858922, 0.0]
[-0.901667, -0.063889, -0.031944, 0.0]	[28.888799, 1.940974, 0.968479, 0.0]
[-1.651667, -0.813889, -0.406944, 0.0]	[47.249822, 22.007495, 10.724457, 0.0]
[-1.786389, -0.458889, -0.229444, 0.0]	[30.335733, 7.357257, 3.644131, 0.0]
[-0.014722, -0.006389, -0.003056, 0.0]	[-0.455896, -0.182953, -0.089247, 0.0]
[-0.014722, -0.006389, -0.003333, 0.0]	[-0.349828, -0.139047, -0.067581, 0.0]
[-0.014722, -0.006389, -0.003333, 0.0]	[-0.804539, -0.330357, -0.162539, 0.0]
[-0.013889, -0.006389, -0.003056, 0.0]	[-5.175819, -2.275143, -1.118004, 0.0]
